Transfer Protocall,number of messages,data size (bytes),average time (s),average throughput (bytes / sec),dropped messages
udp,1,0.00111173,899.4989790686587,,
udp,1,0.00113587,880.3824381311242,,
udp,1,0.00110411,905.7068589180426,,
udp,1,0.001172755,852.6930177232244,,
udp,1,0.00121553,822.6864001711187,,
udp,1,0.001111075,900.0292509506559,,
udp,1,0.001116161,895.9280963946957,,
udp,1,0.00111097,900.1143145179439,,
udp,1,0.001113743,897.8732077328433,,
udp,1,0.001145377,873.0749788061049,,
udp,1,0.001127297,887.0776734081613,,
udp,1,0.001261002,793.020153814189,,
udp,1,0.001157608,863.8502843795136,,
udp,1,0.001190813,839.762414417713,,
udp,1,0.001145046,873.3273597741925,,
udp,1,0.001076348,929.0675506434723,,
udp,1,0.001174946,851.1029443055255,,
udp,1,0.001161697,860.8096603503324,,
udp,1,0.001116152,895.9353206373326,,
udp,1,0.001173706,852.002119781274,,
udp,1,0.001161151,861.2144329204384,,
udp,1,0.001256842,795.6449577592092,,
udp,1,0.001114649,897.1434056819681,,
udp,1,0.001150264,869.3656412788716,,
udp,1,0.001205851,829.2898542191366,,
udp,1,0.001215572,822.6579750109413,,
udp,1,0.00114937,870.0418490129375,,
udp,1,0.001183355,845.0549496981041,,
udp,1,0.001149089,870.2546103913621,,
udp,1,0.001167014,856.8877494186016,,
udp,1,0.001103104,906.5328382455326,,
udp,1,0.001135757,880.4700301208796,,
udp,1,0.001108449,902.1614887108021,,
udp,1,0.001178518,848.5233148751229,,
udp,1,0.001189135,840.947411353631,,
udp,1,0.001139455,877.6125428384623,,
udp,1,0.001159081,862.7524737270303,,
udp,1,0.001138253,878.5393054092543,,
udp,1,0.001122447,890.9106621515315,,
udp,1,0.001128549,886.0935590745285,,
udp,1,0.001138492,878.354876450603,,
udp,1,0.001124382,889.3774535700501,,
udp,1,0.001090246,917.2241861011184,,
udp,1,0.001133314,882.3679933363569,,
udp,1,0.001172135,853.1440491069715,,
udp,1,0.001191876,839.0134544197551,,
udp,1,0.001179236,848.0066755085496,,
udp,1,0.001186672,842.6928418299244,,
udp,1,0.001130101,884.8766614665416,,
udp,1,0.001183059,845.2663814737896,,
udp,1,0.001172379,852.9664895055267,,
udp,1,0.00120436,830.3165166561494,,
udp,1,0.001187418,842.1634167580414,,
udp,1,0.001243862,803.9477048096975,,
udp,1,0.001191081,839.5734630978077,,
udp,1,0.001147491,871.4665300207147,,
udp,1,0.001209092,827.0669229471372,,
udp,1,0.001155095,865.7296585995091,,
udp,1,0.001179577,847.7615280731991,,
udp,1,0.00119636,835.868802032833,,
udp,1,0.001233403,810.7650135438295,,
udp,1,0.001193897,837.5931927126042,,
udp,1,0.001211359,825.5191070524924,,
udp,1,0.001141061,876.3773365315263,,
udp,1,0.00114248,875.2888453189553,,
udp,1,0.001149062,870.2750591351903,,
udp,1,0.001160476,861.7153650743317,,
udp,1,0.001151109,868.727461951909,,
udp,1,0.001139098,877.8875917612005,,
udp,1,0.001149637,869.8397842101464,,
udp,1,0.00117027,854.5036615481898,,
udp,1,0.001191792,839.072589847893,,
udp,1,0.001072606,932.3087881290986,,
udp,1,0.001159517,862.4280627192184,,
udp,1,0.001088722,918.508122367326,,
udp,1,0.001132331,883.1339952717005,,
udp,1,0.001053204,949.4836707798298,,
udp,1,0.001161011,861.3182820834601,,
udp,1,0.001218912,820.4037699194035,,
udp,1,0.001163414,859.5392525790476,,
udp,1,0.001163631,859.3789611998992,,
udp,1,0.001133897,881.9143184963008,,
udp,1,0.00113704,879.4765355660311,,
udp,1,0.001098762,910.1152023823175,,
udp,1,0.001166618,857.1786137364588,,
udp,1,0.001184541,844.208853893618,,
udp,1,0.001160287,861.855730521845,,
udp,1,0.001137235,879.3257330279142,,
udp,1,0.001096995,911.5811831412177,,
udp,1,0.001176036,850.3141060307677,,
udp,1,0.001146907,871.9102769448613,,
udp,1,0.00116682,857.0302188855179,,
udp,1,0.001163249,859.6611731452165,,
udp,1,0.001192235,838.7608147722555,,
udp,1,0.001188883,841.1256616504736,,
udp,1,0.001195455,836.501583079246,,
